"CodProducto","CodBarraDB","ProductoDB","ExcelRow","CodigoExcel","TratamientoExcel","Score","JustificacionChars","Justificacion"
"10084","00","CEMENTADO PERNO Y CORONA ","25","0","CEMENTADO PERNO Y CORONA","100","207","Si no se cementa o recementa la pieza indicada, la restauración puede quedar floja, filtrarse, fracturarse o permitir caries debajo. Cementarla correctamente ayuda a proteger el diente y mantener la función."
"10001","001","CREDITO","51","1","CREDITO","100","249","Si no se registra correctamente el crédito, puede haber diferencias en el saldo, cuotas mal aplicadas o confusión al momento de cobrar. Cargarlo de forma ordenada permite mantener claro el compromiso de pago y el seguimiento financiero del paciente."
"10007","02","ORTODONCIA CONVENCIONAL METALICO  X24","92","2","ORTODONCIA CONVENCIONAL METALICO X24","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10009","04","MANTENEDOR A PLACA HAWLEY (X ARCADA)  (LABORATORIO)","76","4","MANTENEDOR A PLACA HAWLEY (X ARCADA) (LABORATORIO)","100","238","Si no se coloca el mantenedor indicado, puede perderse el espacio necesario para los dientes permanentes, generando apiñamiento, desviaciones o tratamientos de ortodoncia más complejos. Mantener el espacio ayuda a guiar mejor la erupción."
"10209","4","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X24  (BRACKET CERAMICO)","90","4","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X24 (BRACKET CERAMICO)","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10210","5","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X36  (BRACKET CERAMICO)","91","5","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X36 (BRACKET CERAMICO)","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10011","06","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X12  (BRACKET CERAMICO)","89","6","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X12 (BRACKET CERAMICO)","100","240","Si no se inicia o continúa la ortodoncia indicada, la mala posición dental o mordida puede mantenerse o empeorar, dificultar la higiene, aumentar desgaste y requerir tratamientos más complejos. Realizarla ordena la mordida y mejora función."
"10012","07","CIRUGIA COMPLICADA","26","7","CIRUGIA COMPLICADA","100","224","Si no se realiza la cirugía indicada, puede mantenerse dolor, infección, inflamación o daño en dientes y tejidos vecinos. Al ser un caso complejo, resolverlo con planificación reduce riesgos y evita que la situación empeore."
"10190","7","BRACKET AUTOLIGADO METALICO POR PIEZA","17","7","BRACKET AUTOLIGADO METALICO POR PIEZA","100","205","Si no se repone el bracket indicado, el diente queda sin control de movimiento, se retrasa la corrección y puede prolongarse el tratamiento. Reponerlo a tiempo mantiene activa la planificación ortodóncica."
"10194","008","CIRUGÍA DIENTES ANTERIORES TEMPORARIAS (PEDIATRÍA)","29","8","CIRUGÍA DIENTES ANTERIORES TEMPORARIAS (PEDIATRÍA)","100","237","Si no se retira el diente temporal indicado, puede mantenerse dolor, infección, molestia al masticar o interferencia con la erupción del permanente. Resolverlo a tiempo ayuda a evitar urgencias y a proteger el desarrollo de la dentición."
"10013","08","ANTERIOR SIMPLE CARIES","9","8","ANTERIOR SIMPLE CARIES","100","244","Si no se realiza la restauración, la lesión o fractura puede avanzar, generar sensibilidad, dolor, mayor pérdida de estructura y afectar la estética de la sonrisa. Tratarla a tiempo conserva más diente sano y evita procedimientos más complejos."
"10211","8","CONTENCION FIJA INFERIOR","39","8","CONTENCION FIJA INFERIOR","100","197","Si no se usa la contención indicada, los dientes pueden moverse nuevamente y perder parte del resultado logrado con ortodoncia. La contención ayuda a mantener la alineación y evitar retratamientos."
"10014","09","PIEZA DE PUENTE ZIRCONIO PROTESIS  (LABORATORIO) POR CORONA (POR DIENTE)","102","9","PIEZA DE PUENTE ZIRCONIO PROTESIS (LABORATORIO) POR CORONA (POR DIENTE)","100","224","Si no se repone el espacio con un puente cuando está indicado, los dientes vecinos pueden moverse, la mordida puede descompensarse y la masticación verse afectada. El puente ayuda a recuperar función, estética y estabilidad."
"10015","10","REJILLA PALATINA P/ NIÑOS (LABORATORIO)","139","10","REJILLA PALATINA P/ NIÑOS (LABORATORIO)","100","216","Si no se corrige el hábito indicado, puede mantenerse o empeorar la mordida abierta, la posición de los dientes y la función de la lengua. La rejilla ayuda a controlar el hábito y favorecer un desarrollo más estable."
"10158","011","RETIRO DE CORONA ","146","11","RETIRO DE CORONA","100","207","Si no se retira la corona cuando está indicado, puede impedirse el acceso a caries, filtración, fractura o infección debajo de ella. Retirarla permite diagnosticar y rehabilitar la pieza con mayor seguridad."
"10016","11","PROTESIS ACRILICO COMPLETO  (POR ARCADA) (LABORATORIO)","122","11","PROTESIS ACRILICO COMPLETO (POR ARCADA) (LABORATORIO)","100","237","Si no se repone o rehabilita la ausencia dentaria, puede alterarse la masticación, la fonación y la estética, además de sobrecargar dientes remanentes y favorecer movimientos dentarios. La prótesis ayuda a recuperar función y equilibrio."
"10180","013","GINGIVECTOMIA POR ARCADA ","67","13","GINGIVECTOMIA POR ARCADA","100","235","Si no se corrige el exceso o inflamación de encía indicado, puede mantenerse la acumulación de placa, sangrado, dificultad de higiene y problemas estéticos. Realizarlo mejora el acceso de limpieza y ayuda a controlar la salud gingival."
"10018","13","SELLADO DE FOSAS Y FISURAS ANTICARIES GENERAL ","153","13","SELLADO DE FOSAS Y FISURAS ANTICARIES GENERAL","100","227","Si no se sellan las fosas y fisuras, los surcos profundos pueden acumular restos de comida y bacterias, aumentando el riesgo de caries. El sellado protege esas zonas difíciles de limpiar y ayuda a evitar restauraciones futuras."
"10020","15","ANTERIOR CLASE 3 CARIES","6","15","ANTERIOR CLASE 3 CARIES","100","244","Si no se realiza la restauración, la lesión o fractura puede avanzar, generar sensibilidad, dolor, mayor pérdida de estructura y afectar la estética de la sonrisa. Tratarla a tiempo conserva más diente sano y evita procedimientos más complejos."
"10021","16","POSTERIOR MOLAR OCLUSAL COMPLE CARIES ","110","16","POSTERIOR MOLAR OCLUSAL COMPLE CARIES","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10022","17","POSTERIOR PRE CLUSAL COMPLE ","116","17","POSTERIOR PRE CLUSAL COMPLE","100","235","Si no se realiza la restauración, la caries puede avanzar, llegar al nervio, causar dolor, infección, fractura dental, necesidad de conducto o incluso extracción. Tratarla a tiempo conserva más diente sano y evita que el costo aumente."
"10026","21","CORTE FRENILLO PALATINO Y LINGUA","50","21","CORTE FRENILLO PALATINO Y LINGUA","100","252","Si no se corrige el frenillo cuando está indicado, puede mantenerse la dificultad de higiene, movilidad limitada, separación dentaria, tracción de encía o alteraciones funcionales. Realizarlo ayuda a mejorar función, estabilidad y salud de los tejidos."
"10028","23","TERCER MOLAR INFERIOR NO ERUPCIONADO","158","23","TERCER MOLAR INFERIOR NO ERUPCIONADO","100","231","Si no se controla o extrae el tercer molar retenido indicado, puede provocar dolor, infección, inflamación, caries en el diente vecino, daño periodontal o formación de lesiones. Tratarlo a tiempo reduce el riesgo de complicaciones."
"10196","024","URGENCIA ENDODÓNTICA","162","24","URGENCIA ENDODÓNTICA","100","227","Si no se atiende la urgencia endodóntica, el dolor y la inflamación del nervio pueden intensificarse, formar infección o absceso y comprometer la pieza. Atenderla rápido permite aliviar el dolor y evitar complicaciones mayores."
"10029","24","BRACKET CONVENCIONAL METALICO POR PIEZA","18","24","BRACKET CONVENCIONAL METALICO POR PIEZA","100","205","Si no se repone el bracket indicado, el diente queda sin control de movimiento, se retrasa la corrección y puede prolongarse el tratamiento. Reponerlo a tiempo mantiene activa la planificación ortodóncica."
"10031","26","ANTERIOR CLASE 4 CARIES","7","26","ANTERIOR CLASE 4 CARIES","100","244","Si no se realiza la restauración, la lesión o fractura puede avanzar, generar sensibilidad, dolor, mayor pérdida de estructura y afectar la estética de la sonrisa. Tratarla a tiempo conserva más diente sano y evita procedimientos más complejos."
"10033","28","CIRUGIA SIMPLE  A PARTIR DE 2 RAICES","32","28","CIRUGIA SIMPLE A PARTIR DE 2 RAICES","100","223","Si no se realiza la extracción o cirugía indicada, puede mantenerse dolor, infección, inflamación, fractura de restos dentarios o daño a dientes vecinos. Tratarlo a tiempo evita urgencias y facilita una mejor cicatrización."
"10034","29","CARILLA ANTERIOR CON  RESINA (IN SITU)","21","29","CARILLA ANTERIOR CON RESINA (IN SITU)","100","224","Si no se realiza la carilla indicada, puede mantenerse una alteración de forma, color o fractura que afecte la estética y la confianza al sonreír. Realizarla permite mejorar la apariencia y proteger la superficie del diente."
"10035","30","CORONA PORCELANA Y METAL POR PIEZA DENTRIA  (LABORATORIO)","47","30","CORONA PORCELANA Y METAL POR PIEZA DENTRIA (LABORATORIO)","100","223","Si no se protege la pieza con una corona cuando está indicada, el diente debilitado puede fracturarse, filtrarse, doler o perderse. La corona ayuda a conservar la pieza, devolver función y evitar tratamientos más invasivos."
"10037","32","ENDODONCIA MECANIZADA MOLAR","56","32","ENDODONCIA MECANIZADA MOLAR","100","234","Si no se realiza la endodoncia indicada, la inflamación o infección del nervio puede avanzar, producir dolor intenso, absceso, pérdida ósea y posible extracción. Realizarla permite conservar el diente natural y controlar la infección."
"10049","33","TERCER MOLAR SUPERIOR  IMPACTADO ","159","33","TERCER MOLAR SUPERIOR IMPACTADO","100","231","Si no se controla o extrae el tercer molar retenido indicado, puede provocar dolor, infección, inflamación, caries en el diente vecino, daño periodontal o formación de lesiones. Tratarlo a tiempo reduce el riesgo de complicaciones."
